We must respect the will of the individual.	1.個人の意志は尊重しなければいけない。
Take it easy. I can assure you that everything will turn out fine.	2.気楽にいけよ。大丈夫、すべてうまくいくさ。
Let go of your negative outlook on life. Always maintain a positive attitude.	3.悲観的な人生観を捨てて、前向きな態度を常に持ち続けよう。
You should be fair to everyone regardless of national origin, gender, or creed.	4.生まれた国、性別、信条に関係なく、誰に対しても公平でなくてはならない。
Equality is guaranteed by the Constitution.	5.平等は憲法で守られている。
He leaned against the pillar and gazed at the Statue of Liberty.	6.彼は柱に寄り掛かって、自由の女神像をじっと見つめた。
A woman passed by me giving off a subtle scent of perfume. It reminded me of my ex-girlfriend.	7.香水のほのかな香りを漂わせながら、一人の女性が僕の前を通り過ぎた。前の彼女のことを思い出してしまった。
Natto smells awful but tastes terrific.	8.納豆は臭いはひどいけれど味は最高。
Im soaked with sweat. Stand back! You stink. Take a shower.	9.「汗でびしょぬれだよ。」「来ないで！臭いわ。シャワーを浴びて。」
Bob was so beside himself that he could scarcely tell fact from fiction.	10.ボブはひどく取り乱していて、現実と虚構の区別がほとんどできなかった。
His new novel, which combines prose with his gift for poetry, is going to be published.	11.まもなく出版になる彼の小説は、散文に彼の詩の才能を融合させたものだ。
An up-to-date edition of the encyclopedia will come out next month.	12.来月、その百科事典の最新版が出る。
Ms.Yamada translated the fascinating fairy tale into plain Japanese.	13.山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳した。
The following passage is quoted from a well-known fable.	14.以下の一節は有名な寓話からの引用です。
Are you familiar with contemporary literature? I know next to nothing about it.	15.「現代文学に詳しいですか？」「ほとんど知りません。」
At times I confuse curve with carve.	16.時々、"curve(曲線)"と"carve(彫る)"を混同してしまう。
Don't be shy. Your pronunciation is more or less correct.	17.恥ずかしがらないで。あなたの発音はだいたい合っています。
This article contains tips for those who are eager to increase their vocabulary.	18.この記事には、語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。
His latest works are on display at the city hall. They are fabulous beyond description.	19.彼の最新の作品が市庁舎で展示されているの。言葉にできないほど素敵よ。
Could you move over a little? Oh,sorry. I didnt realize I was taking up so much space.	20.「少し詰めていただけませんか？」「あ、ごめんなさい。こんなに場所を取っていたなんて気付きませんでした。」
Whats this ugly object? This is a piece of abstract art!	21.「この不恰好な物体は何？」「これは抽象芸術の作品だよ！」
I begged Richie to lend me a hundred bucks, but he shook his head, saying, Im broke, too.	22.100ドル貸してくれとリッチーに頼んだら、彼は「俺もお金が無いんだよ！」と言って首を横に振った。
Im apt to buy things on impulse whenever something is on sale. So am I.	23.「安売りをしているといつも衝動買いしてしまいがちです。」「私も。」
As it is, ordinary people cannot afford to purchase such luxuries.	24.実際のところ、普通の人々にはそんな贅沢品を購入する余裕はない。
As we anticipated, the unemployment rate has risen three quarters in a row.	25.予期していた通り、失業率は3四半期連続で上昇した。
I have to cut down on my expenses, so from now on, Im going to keep track of them on a daily basis.	26.出費を減らさないと。だから、これからは使ったお金は一日単位で記録していくつもりだ。
In any case, the union has to compromise to a certain extent.	27.いずれにせよ、組合側はある程度妥協しなければならない。
Competent mechanics are in great demand, so they earn decent wages.	28.有能な整備士は引っ張りだこだから（需要があるから）、かなりよい賃金を稼げる。
The president announced a concrete plan to carry out welfare reform.	29.大統領は福祉改革を実行するための具体的な計画を発表した。
His policy will no doubt lead to dismal consequences. It needs a through review.	30.彼の政策はきっと暗い結果を招くだろう。徹底的な見直しが必要だ。
It goes without saying that the aging of society is inevitable.	31.社会の高齢化が避けられないことは言うまでもない。
Please take a look at this chart. It indicates that juvenile delinquency is on the increase at an alarming rate.	32.この表をご覧になって下さい。少年非行が深刻な割合で増加していることを示しています。
